bin,status,first_contributors,evidence
output_zp_negative,COVERED,zero_points_2;per_channel_quantization;random_seed_001;random_seed_002;random_seed_003;random_seed_004;random_seed_005;random_seed_006,configuration
source_gap_none,COVERED,k4_bank0;k8_bank0;k16_bank0;k32_bank0;k64_bank0;k4_bank1;k8_bank1;k16_bank1,source_protocol
source_gap_present,COVERED,pressure_0;pressure_2;random_seed_001;random_seed_002;random_seed_003;random_seed_005;random_seed_006;random_seed_007,source_protocol
sink_stall_none,COVERED,k4_bank0;k8_bank0;k16_bank0;k32_bank0;k64_bank0;k4_bank1;k8_bank1;k16_bank1,sink_protocol
sink_stall_low,COVERED,pressure_1;random_seed_002;random_seed_005;random_seed_007;random_seed_010;random_seed_013;random_seed_015;random_seed_018,sink_protocol
sink_stall_high,COVERED,pressure_2;random_seed_001;random_seed_003;random_seed_004;random_seed_006;random_seed_009;random_seed_011;random_seed_012,sink_protocol
bank_swap_absent,COVERED,k4_bank0;k8_bank0;k16_bank0;k32_bank0;k64_bank0;k8_bank1;k16_bank1;k32_bank1,bank_sequence
bank_swap_present,COVERED,k4_bank1;result_zero;result_positive;result_negative;result_sat_pos;result_sat_neg;result_relu_zero;zero_points_0,bank_sequence
accumulator_small,COVERED,k4_bank0;k32_bank1;result_zero;result_positive;result_negative;zero_points_0;zero_points_1;rounding_1,pytorch_accumulator
accumulator_medium,COVERED,k4_bank0;k8_bank0;k16_bank0;k32_bank0;k64_bank0;k4_bank1;k8_bank1;k16_bank1,pytorch_accumulator
accumulator_large,COVERED,result_sat_pos;result_sat_neg;random_seed_004;random_seed_005;random_seed_008;random_seed_009;random_seed_010;random_seed_012,pytorch_accumulator
product_positive,COVERED,k4_bank0;k8_bank0;k16_bank0;k32_bank0;k64_bank0;k4_bank1;k16_bank1;k32_bank1,pytorch_product
product_negative,COVERED,k4_bank0;k8_bank0;k16_bank0;k32_bank0;k64_bank0;k4_bank1;k8_bank1;k16_bank1,pytorch_product
round_exact,COVERED,k4_bank0;k8_bank0;k16_bank0;k32_bank0;k64_bank0;k4_bank1;k8_bank1;k16_bank1,requantization
round_nonzero_remainder,COVERED,rounding_0;rounding_1;rounding_2;rounding_3;per_channel_quantization;random_seed_001;random_seed_002;random_seed_003,requantization
per_channel_quantization,COVERED,per_channel_quantization;random_seed_001;random_seed_002;random_seed_003;random_seed_004;random_seed_005;random_seed_006;random_seed_007,configuration
short_command,COVERED,k4_bank0;k8_bank0;k4_bank1;k8_bank1;result_zero;result_positive;result_negative;result_sat_pos,command
long_command,COVERED,k32_bank0;k64_bank0;k32_bank1;k64_bank1;pressure_0;pressure_1;pressure_2;random_seed_004,command
all_output_channels_active,COVERED,k4_bank0;k8_bank0;k16_bank0;k32_bank0;k64_bank0;k4_bank1;k8_bank1;k16_bank1,pytorch_result
